Season,Disk,Episode Number,Episode Title
17,02,494,Clash of Red and Black (Hades)
17,02,495,Clash of Red and Black (Coma)
17,02,496,Clash of Red and Black (Invasion)
17,02,497,Clash of Red and Black (Awakening)
17,03,498,Clash of Red and Black (Disturbance)
17,03,499,Clash of Red and Black (Disguise)
17,03,500,Clash of Red and Black (Testament)
17,03,501,Clash of Red and Black (Suspicion)
17,04,502,Clash of Red and Black (Innocence)
17,04,503,Clash of Red and Black (Ready to Die)
17,04,504,Clash of Red and Black (Killed in the Line of Duty)
17,04,512,The Broken Horoscope
17,05,505,Lawyer Eri Kisaki's Testimony (Part 1)
17,05,506,Lawyer Eri Kisaki's Testimony (Part 2)
17,05,507,The Blind Spot in the Karaoke Box (Part 1)
17,05,508,The Blind Spot in the Karaoke Box (Part 2)
17,06,509,“Red, White, Yellow, and the Detective Boys“
17,06,510,Conan vs. Double Code Mystery
17,06,511,Deduction Showdown! Shinichi vs. Subaru Okiya
17,06,520,Red Wine Indictment
17,07,513,Coffee Aroma with Murderous Intention (Part 1)
17,07,514,Coffee Aroma with Murderous Intention (Part 2)
17,07,515,Kaitou Kid's Teleportation Magic
17,08,516,Fuurinkazan The Mysterious Armored Warrior
17,08,517,Fuurinkazan Shadow and Lightning Conclusion
17,08,526,A Present from the True Culprit
17,09,518,Meiji Restoration Mystery Tour∶ Investigation Chapter
17,09,519,Meiji Restoration Mystery Tour∶ Decipher Chapter
17,09,521,“Murderer, Shinichi Kudo“
17,10,522,Shinichi's True Face and Ran's Tears
17,10,523,What She Truly Wants to Ask
17,10,527,The Malice Hidden Behind the Masque
18,01,524,The Blue Spark of Hate (Part 1)
18,01,525,The Blue Spark of Hate (Part 2)
18,01,528,Might Over Mystery (Part 1)
18,01,529,Might Over Mystery (Part 2)
18,02,530,The Truth Behind the Urban Legend (Part 1)
18,02,531,The Truth Behind the Urban Legend (Part 2)
18,02,532,The Scar of First Love
18,02,533,The Scar that Evokes the Past
18,03,534,The New Scar and the Whistling Man
18,03,535,An Old Scar and the Detective's Spirit
18,03,536,The Secret of the Vanished Masterpiece
18,03,539,A Fool's Inheritance
18,04,537,Kaitou Kid vs. the Strongest Safe (Part 1)
18,04,538,Kaitou Kid vs. the Strongest Safe (Part 2)
18,04,540,The Day Kogoro Mouri Ceased Being a Detective (Part 1)
18,04,541,The Day Kogoro Mouri Ceased Being a Detective (Part 2)
18,05,542,Ikkaku Rock's Disappearing Fish (Part 1)
18,05,543,Ikkaku Rock's Disappearing Fish (Part 2)
18,05,544,The Hand That Plays in Dissonance
18,05,553,The Interrogation Room
18,06,545,The Witch Enshrouded by Fog (Part 1)
